NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2010,2010,12/02/1985 12:00:00 AM,FEMENINO,ANTIOQUIA,Texas AM University - Alberta University - Purdue University,Ph. D. Chemical Engineering,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/09/1980 12:00:00 AM,FEMENINO,SANTANDER,University Of Wisconsin - Madison - Universidad de Caifornia Berkeley  - University of South Carolina,Fisioterapia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Colorado State University - Universidad Autonoma De Madrid - UNIVERSIDAD DE ZARAGOZA,Bioquimica /Biologia molecular,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,05/05/1981 12:00:00 AM,MASCULINO,BOGOTA D C,Technische Universitat Dresden - RWTH Universidad de Aachen - University of Wollongong,Doctorado en Ingenieria Electrica,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,HUILA,The University of Oklahoma - Universidad De Puerto Rico - Universidad Nacional de Mexico,INGENIERIA AGRICOLA,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CORDOBA,The University of Queensland - Duke University - University of Michigan,Doctorado en ecologia,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,MAGDALENA,Universidad de Toronto - JOHNS HOPKINS SCHOOL OF PUBLIC HEALTH - GEORG-AUGUST-UNIVERSITAT-GOTTINGEN,Facultad de Medicina,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,10/05/1986 12:00:00 AM,MASCULINO,BOGOTA D C,Harvard Kennedy School - Princeton University - Stanford University,Doctorado en economia politica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,01/09/1984 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Chapingo - Universidad de Cordoba - Universidade Federal De Santa Catarina,Maestria en medio ambiente y desarrollo,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS NATURALES
Doctorados Exterior 2010,2010,12/08/1984 12:00:00 AM,FEMENINO,BOGOTA D C,Woods Hole Oceanographic Institution - UNIVERSITY OF WISCONSIN-MADISON - Duke University,Joint Program in Oceanography/Applied Ocean Science  Engineering,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2016,2016,01/01/1900 12:00:00 AM,MASCULINO,BOYACA,University of Sao Paulo,Doctorado en Matematicas,Ciencias Basicas,CIENCIAS NATURALES,MATEMATICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,3.	Universidad Autonoma de Mexico - Universidad De Las Americas Puebla-Mexico - Universidad De Buenos Aires,Doctorado en Ciencias Sociales,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,MEDIOS Y COMUNICACION SOCIAL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOYACA,UNIVERSIDAD DE CHILE - Universidad de Buenos Aires - Universidad Santiago de Chile,DOCTORADO NUTRICION Y ALIMENTOS,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,NUTRICION Y DIETAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Georg-August-Universitat Gottingen - Boston University - University of Washington,Ciencias agricolas,Ciencias Basicas,OTRAS BIOLOGIAS,BIOFISICA
Doctorados Exterior 2010,2010,03/05/1985 12:00:00 AM,FEMENINO,META,Universidade Estadual do Norte Fluminense,Ciencia Animal,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Oxford - University of Florida - Instituto de Ecologia de Xalapa,DPhil in Zoology University of Oxford,Ciencias Basicas,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,04/11/1982 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad de Arte y Ciencias Sociales,Doctorado en Procesos Sociales y Politicos en America Latina,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2011,2011,09/07/1983 12:00:00 AM,MASCULINO,BOGOTA D C,University of Surrey,Sociology Research PhD,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,SOCIOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,CAUCA,Universidad Nacional Autonoma de Mexico - Universidad de Buenos Aires - Universidad Autonoma de Chapingo,POSGRADO EN CIENCIAS BIOLOGICAS,Biotecnologia,OTRAS BIOLOGIAS,GENETICA Y HERENCIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,Universitat De Girona,Doctorado en Tecnologia,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MEDICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,UNIVERSITY OF FLORIDA - University of Oxford - Universidad Nacional Autonoma De Mexico,Wildlife Ecology and Conservation,Ciencias Basicas,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,07/03/1984 12:00:00 AM,MASCULINO,CORDOBA,Keio University,Doctorado en ciencias de la computacion,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Iowa State University - Purdue University - Cornell University,Crop Production  Physiology,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CORDOBA,Universidad de Girona - Universidad Pontificia de Salamanca - UNED,Doctorado en Tecnologias,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,Universidad Nacional de la Rioja - Universidad Nacional de Cuyo - UNIVERSIDAD DE ZARAGOZA,Doctorado en Ciencias Ambientales,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,GEOCIENCIAS MULTIDISCIPLINARIO,GEOCIENCIAS MULTIDISCIPLINARIO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad Autonoma Metropolitana de Mexico - Universidad Nacional Autonoma de Mexico - New York University,Doctorado en Antropologia Social,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,MEDIOS Y COMUNICACION SOCIAL
Doctorados Exterior 2010,2010,05/12/1983 12:00:00 AM,MASCULINO,BOGOTA D C,East Angle University - University of Exeter - 3.	Universidad Autonoma de Mexico,Ingenieria Agronomica,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,BOTANICA Y CIENCIAS DE LAS PLANTAS
Doctorados Exterior 2010,2010,10/10/1976 12:00:00 AM,MASCULINO,BOGOTA D C,University College of London - University of Cambridge - UNIVERSIDAD POLITECNICA DE MADRID,Doctorado en Construccion y Nuevas Tecnologias Arquitectonicas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DISENO
Doctorados Exterior 2010,2010,09/03/1976 12:00:00 AM,FEMENINO,SANTANDER,Universidad de Valladolid - Universidad De Sao Paulo,Doctorado en Matematicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,MATEMATICAS PURAS
Doctorados Exterior 2013,2013,06/10/1973 12:00:00 AM,MASCULINO,MAGDALENA,Universidad Central De Venezuela,Doctorado en matematicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,MATEMATICAS PURAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,NARINO,Universidad Politecnica de Valencia - UNIVERSIDAD CARLOS III DE MADRID,Doctorado en Telecomunicaciones,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Exeter - University of Bristol - University of Iowa,SPORTS AND HEALTH SCIENCES PHD,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD OCUPACIONAL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,Centro de Investigacion de Microscopia Universidad de Texas en San Antonio - Universidad de Valencia Espana - CINVESTAV - Centro de Investigacion y de Estudios Avanzados del Instituto P,Doctorado en Ciencias Fisicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,FISICA ATOMICA MOLECULAR Y QUIMICA
Doctorados Exterior 2010,2010,11/12/1980 12:00:00 AM,FEMENINO,CESAR,Universidad Nacional Autonoma De Mexico,Programa de Maestria y Doctorado en Ingenieria,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,05/11/1978 12:00:00 AM,MASCULINO,LA GUAJIRA,UNIVERSIDAD DE OVIEDO,Doctorado en Biotecnologia Alimentaria,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,ALIMENTOS Y BEBIDAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,University College London - UNIVERSITY OF ILLINOIS AT CHICAGO - Imperial College London,Doctorado en Ingenieria Quimica,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Washington University in Saint Louis - Boston University - University of Utah,Doctorado en economia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,02/04/1979 12:00:00 AM,FEMENINO,BOGOTA D C,UNIVERSITY OF CALIFORNIA - DAVIS- - The University of Sydney,Facultad de Psicologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,TEMAS ESPECIALES ESTUDIOS DE GENERO TEMAS SOCIALES ESTUDIOS DE LA FAMILIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Univerdidad Politecnica de Valencia - Ohio State University - Universidad Politecnica de Madrid,Doctorado en Inteligencia Artificial e Informatica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of California Berkeley - University Of Washington - University Of Alberta,Environmental Sciences,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,08/11/1984 12:00:00 AM,MASCULINO,NARINO,Alfred University  - The Pennsylvania State University - Missouri University of Science and Technology,Ceramic Engineering - Doctorate of Philosophy,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,UNIVERSIDAD AUTONOMA DE BARCELONA - Wageningen University and Research Centre - Universidad De Munich,Doctorado en Ciencia y Tecnologia Ambiental,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,OTRAS CIENCIAS NATURALES
Doctorados Exterior 2010,2010,02/03/1986 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad de Madeira,PhD in Informatics Engineering.,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,11/11/1981 12:00:00 AM,MASCULINO,HUILA,Columbia University In The City of New York - Harvard University - UNIVERSIDAD AUTONOMA DE BARCELONA,Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2013,2013,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Swansea University,Engineering civil Ph.D,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,META,Universidad De Burgos - UNIVERSIDAD POLITECNICA DE CATALUNA - UNIVERSIDAD AUTONOMA DE BARCELONA,Doctorado en Avances en Ciencia y Biotecnologia Alimentarias,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,ALIMENTOS Y BEBIDAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of South Carolina,Doctorado en ciencias farmaceuticas,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,FARMACOLOGIA Y FARMACIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University Of British Columbia - Universidad de Toronto - Universidad de Alberta,Doctorado en Salud Publica,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad Nacional de La Plata - Universidad de Buenos Aires - Centro Atomico de Bariloche-Instituto Balseiro,Doctorado en Fisica,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,FISICA ATOMICA MOLECULAR Y QUIMICA
Doctorados Exterior 2012,2012,04/08/1979 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad De Alicante,Doctorado en Derecho Ambiental,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Royal Institute of Technology - MASSACHUSETTS INSTITUTE OF TECHNOLOGY - Rice University,PhD in Sustainable Energy Engineering,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Amsterdam - University of California Davis,Biologia Aplicada,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de California - Berkeley - University College of London - Universidad de Amsterdam,Antropologia Medica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,NORTE DE SANTANDER,OXFORD UNIVERSITY - University of Zurich - Max Planck Intitute for Evolutionary Biology,Ciencias basicas,Ciencias Basicas,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Georgia Tech - University of Michigan - Massachusetts Institute of Technology,Doctorado en Ingenieria Quimica enfasis en Energia,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,Royal Institute of Technology - Massachusetts Institute of Technology - Arizona State University,Doctorado en Energias Sostenibles,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Institut dUrbanisme de Paris - Universite Paris-Est (Creteil-Val de Marne) - 61623 - UNIVERSIDAD VIRTUAL TECNOLOGICO DE MONTERREY  - Intitud De Mathemaiques Et DInformatique De La Universite De Nantes,prueba,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS INGENIERIAS Y TECNOLOGIAS,COMPUESTOS LAMINADOS PLASTICOS REFORZADOS FIBRA SINTETICAS Y NATURALES ETC
Doctorados Exterior 2010,2010,01/12/1981 12:00:00 AM,FEMENINO,ATLANTICO,Universidad De Oslo - University of Massachusetts Amherts,Programa Doctoral en Antropologia Social,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS SOCIALES INTERDISCIPLINARIA
Doctorados Exterior 2010,2010,10/12/1982 12:00:00 AM,FEMENINO,CALDAS,Universidade de Sao Paulo - Universidade Estadual De Campinas - Universidade Federal do Estado do Rio de Janeiro,Doctorado en Musica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad de Barcelona - UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad de Murcia,Doctorado en Biotecnologia,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2010,2010,06/03/1988 12:00:00 AM,MASCULINO,LA GUAJIRA,Cambridge University - OXFORD UNIVERSITY - Imperial College London,Biotecnologia,Biotecnologia,OTRAS BIOLOGIAS,GENETICA Y HERENCIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad De Copenhaguen - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - Northern Kentucky University,Doctorado en Ciencias - Biologia,Ciencias Basicas,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2010,2010,07/08/1983 12:00:00 AM,MASCULINO,ATLANTICO,Georgia Institute of Technology - Lancaster University  - University Of Oxford,Doctor of Philosophy with a Major in Industrial Engineering,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DE PRODUCCION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,UNIVERSIDAD COMPLUTENSE DE MADRID - UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad de Leon,Doctorado en Ciencias Veterinarias,Biotecnologia,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,I.	University of British Columbia  - University of Toronto - University College London,Doctor of Philosophy,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,05/06/1981 12:00:00 AM,MASCULINO,BOGOTA D C,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Facultad de Ingenieria Electronica y Biomedica,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,NORTE DE SANTANDER,Instituto Karolinska,Doctorado en Medicina. PhD in Medicine,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,McGill University - Cornell University - Carnegie Mellon University,Doctorate of Philosophy,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Tilburg University - Maastricht University - IESE BUSINESS SCHOOL,RM / PHD Strategy,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Universidad Rey Juan Carlos,Relaciones Internacionales Iberomericanas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,University of Colorado At Boulder - University of Iowa - Ball State University,DMA,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University Of Wyoming - University Of Illinois - University of California Riverside,Maestria en Ciencias Biologia,Ciencias Basicas,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Arizona - University Of Southampton - University of Oklahoma,Ingenieria Electronica y Biomedica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,SUCRE,Universita Degli Studi Di Milano - Universidad de Murcia - Universidad De Sao Paulo,Doctorado en Biotecnologia de Alimentos,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,New York University - Cambridge University - University of Amsterdam,Antropologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,09/03/1984 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad Politecnica de Valencia - Universidad internacional de Cataluya - Universidad de Alcala,Habitat y desarrollo sostenible,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS CIENCIAS SOCIALES,ARQUITECTURA Y URBANISMO
Doctorados Exterior 2010,2010,07/11/1985 12:00:00 AM,MASCULINO,ATLANTICO,Otto-Von-Guericke-University Magdeburg - Universidad De Ulm - RWTH Universidad de Aachen,Doctarado en ciencias basicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,MATEMATICAS PURAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Universidad De Castilla - La Mancha - Universidad de Barcelona - Universidad Autonoma De Madrid,Doctorado en Biomedicina Experimental,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidade Estadual De Maringa - Universidad de Concepcion - Universidade Federal do Rio de Janeiro,Doctorado en Ecologia de Ambientes Acuaticos Continentales,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,QUINDIO,Universitat Jaume I (Uji),Doctorado en Ciencias Quimicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Iowa State University - Purdue University - Texas AM University,Crop Production  Physiology,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,07/07/1984 12:00:00 AM,MASCULINO,SANTANDER,Universite Paris-Sud 11 - Universite Paris-Sud 11 - Universite Montpellier 2,Aseguramiento de la Calidad en Educacion Superior,Ciencia Tecnologia e Innovacion en Ingenieria,CIENCIAS NATURALES,CIENCIAS NATURALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad de Massachusetts Amherst - Universidad De Harvard - Universidad de Wisconsin,Sociologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Maryland - College Park - McGill University - University of California Riverside,Ph. D. Biological Sciences-Biology,Ciencias Basicas,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2010,2010,10/06/1986 12:00:00 AM,FEMENINO,QUINDIO,The George Washington University - The George Washington University - The George Washington University,Grupo de Investigacion y Asesorias en Estadistica de la Universidad del Qui,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,ESTADISTICAS Y PROBABILIDADES INVESTIGACION EN METODOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,Centro de Investigacion de Microscopia Universidad de Texas en San Antonio - Universitat De Valencia - Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico N,Doctorado en Ciencias Fisicas,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,FISICA ATOMICA MOLECULAR Y QUIMICA
